neighborhood,neighborhood_ascii,lat,lng,city_name,city_id,state_name,state_id,source,timezone,zips,county_fips,county_name,id
Atlanta University Center,Atlanta University Center,33.74947,-84.41125,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30314,13121,Fulton,184001366011100
Hunter Hills,Hunter Hills,33.75872,-84.43123,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30314,13121,Fulton,184001366011101
Bankhead,Bankhead,33.76901,-84.42452,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30318 30314,13121,Fulton,184001366011102
English Avenue,English Avenue,33.7707,-84.41099,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30318 30314,13121,Fulton,184001366011103
Adair Park,Adair Park,33.73117,-84.41083,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30310,13121,Fulton,184001366011104
Mechanicsville,Mechanicsville,33.73805,-84.39768,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30315 30312,13121,Fulton,184001366011105
Capitol Gateway,Capitol Gateway,33.74558,-84.3845,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30312,13121,Fulton,184001366011106
Grant Park,Grant Park,33.73748,-84.37062,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30315 30312,13121,Fulton,184001366011107
Hammond Park,Hammond Park,33.67695,-84.40738,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30315,13121,Fulton,184001366011108
Capitol View,Capitol View,33.71705,-84.41463,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30310,13121,Fulton,184001366011109
High Point,High Point,33.7166,-84.39588,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30315,13121,Fulton,184001366011110
Joyland,Joyland,33.71179,-84.39734,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30315,13121,Fulton,184001366011111
Betmar Lavilla,Betmar Lavilla,33.70666,-84.39809,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30315,13121,Fulton,184001366011112
The Villages At Carver,The Villages At Carver,33.71278,-84.39103,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30315,13121,Fulton,184001366011113
Fort Mcpherson,Fort Mcpherson,33.7071,-84.43455,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30310,13121,Fulton,184001366011114
Venetian Hills,Venetian Hills,33.71663,-84.44355,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30310 30311,13121,Fulton,184001366011115
Pomona Park,Pomona Park,33.70528,-84.45094,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30311,13121,Fulton,184001366011116
Fort Valley,Fort Valley,33.70006,-84.45102,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30311,13121,Fulton,184001366011117
Greenbriar,Greenbriar,33.68272,-84.49151,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30331 30311,13121,Fulton,184001366011118
Laurens Valley,Laurens Valley,33.70975,-84.47866,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30311,13121,Fulton,184001366011119
Heritage Valley,Heritage Valley,33.70597,-84.50203,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30331,13121,Fulton,184001366011120
Ben Hill Acres,Ben Hill Acres,33.69408,-84.50842,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30331,13121,Fulton,184001366011121
Rue Royal,Rue Royal,33.68578,-84.50531,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30331,13121,Fulton,184001366011122
Ben Hill Pines,Ben Hill Pines,33.68347,-84.50824,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30331,13121,Fulton,184001366011123
Ben Hill Forest,Ben Hill Forest,33.6774,-84.50219,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30331,13121,Fulton,184001366011124
Deerwood,Deerwood,33.67645,-84.51131,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30331,13121,Fulton,184001366011125
Wildwood Forest,Wildwood Forest,33.68308,-84.53892,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30331,13121,Fulton,184001366011126
Fairway Acres,Fairway Acres,33.68569,-84.53925,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30331,13121,Fulton,184001366011127
Greenbriar Village,Greenbriar Village,33.70435,-84.54041,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30331,13121,Fulton,184001366011128
Niskey Lake,Niskey Lake,33.71561,-84.53135,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30331,13121,Fulton,184001366011129
Kings Forest,Kings Forest,33.70079,-84.51291,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30331,13121,Fulton,184001366011130
Whittier Mill Village,Whittier Mill Village,33.81163,-84.48235,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30318,13121,Fulton,184001366011131
Hills Park,Hills Park,33.80118,-84.44086,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30318,13121,Fulton,184001366011132
Bolton Hills,Bolton Hills,33.80137,-84.48429,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30318,13121,Fulton,184001366011133
Carver Hills,Carver Hills,33.79992,-84.46129,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30318,13121,Fulton,184001366011134
Almond Park,Almond Park,33.78654,-84.46224,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30318,13121,Fulton,184001366011135
Browns Mill Park,Browns Mill Park,33.68524,-84.382,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30354 30315,13121,Fulton,184001366011136
Swallow Circle/Baywood,Swallow Circle/Baywood,33.6929,-84.38523,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30315,13121,Fulton,184001366011137
Polar Rock,Polar Rock,33.69397,-84.39689,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30315,13121,Fulton,184001366011138
Sylvan Hills,Sylvan Hills,33.70574,-84.41593,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30315 30310,13121,Fulton,184001366011139
Capitol View Manor,Capitol View Manor,33.71743,-84.40299,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30310,13121,Fulton,184001366011140
Amal Heights,Amal Heights,33.7088,-84.39871,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30315,13121,Fulton,184001366011141
West Lake,West Lake,33.75895,-84.44188,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30314,13121,Fulton,184001366011142
Lakewood Heights,Lakewood Heights,33.70375,-84.3855,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30315,13121,Fulton,184001366011143
South Atlanta,South Atlanta,33.71531,-84.38526,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30315,13121,Fulton,184001366011144
Peachtree Heights East,Peachtree Heights East,33.82573,-84.38294,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30305,13121,Fulton,184001366011145
Mt. Gilead Woods,Mt. Gilead Woods,33.69995,-84.50367,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30331,13121,Fulton,184001366011146
Meadowbrook Forest,Meadowbrook Forest,33.69258,-84.50308,Atlanta,1840013660,Georgia,GA,polygon,America/New_York,30331,13121,Fulton,184001366011147
